,,,9,60.05,3016.876,7.89425,-0.16715,0.07681,0.00000,19.48735,5.3409E-02,19/07/02,20:23:13
,,,10,60.16,3506.706,7.87112,-0.19927,0.09156,0.00000,19.44338,6.3435E-02,19/07/02,23:26:46
,,,11,60.15,3995.390,7.84659,-0.23321,0.10716,0.00000,19.39728,7.3945E-02,19/07/03,02:29:48
,,,12,60.01,4484.485,7.82045,-0.26926,0.12372,0.00000,19.34873,8.5016E-02,19/07/03,05:18:28
,,,13,59.97,4972.345,7.79249,-0.30768,0.14138,0.00000,19.29750,9.6698E-02,19/07/03,08:12:42
,,,14,59.98,5337.004,7.77022,-0.33818,0.15539,0.00000,19.25725,1.0587E-01,19/07/03,11:18:25
,,,15,59.99,4602.330,7.81399,-0.27823,0.12785,0.00000,19.33645,8.7817E-02,19/07/03,14:28:08
,,,16,59.94,3863.536,7.85340,-0.22386,0.10286,0.00000,19.40969,7.1118E-02,19/07/03,16:37:00
,,,17,60.04,3122.730,7.88931,-0.17405,0.07997,0.00000,19.47779,5.5589E-02,19/07/03,19:01:12
,,,18,60.15,2380.045,7.92230,-0.12801,0.05882,0.00000,19.54171,4.1015E-02,19/07/03,21:30:50
,,,19,60.01,1634.049,7.95284,-0.08521,0.03915,0.00000,19.60171,2.7334E-02,19/07/04,00:06:07
,,,20,59.98,887.092,7.98123,-0.04527,0.02080,0.00000,19.65834,1.4422E-02,19/07/04,02:47:58
,,,21,59.91,688.096,7.98841,-0.03511,0.01613,0.00000,19.67292,1.1099E-02,19/07/04,05:49:57
,,,22,59.72,488.886,7.99550,-0.02509,0.01153,0.00000,19.68727,7.8280E-03,19/07/04,08:12:53
,,,23,59.73,289.889,8.00245,-0.01525,0.00701,0.00000,19.70141,4.6027E-03,19/07/04,10:35:11
