No,sec,Time,Julabo_ex_pv(°C),Pressure(Pa),P_slope,,,Weight(g),W_slope,,,Interval
 3 , 32881.469 ,18:56:36,31.04,201980,-15.537,<,35.000,8.008530,0.0000538,>=,0.000030,/300sec
 3 , 33181.141 ,19:01:36,31.04,201980,-14.566,<,35.000,8.008580,0.0000520,>=,0.000030,/300sec
 3 , 33481.203 ,19:06:36,31.05,201980,-17.479,<,35.000,8.008610,0.0000495,>=,0.000030,/300sec
 3 , 33781.281 ,19:11:36,31.04,201980,-13.595,<,35.000,8.008660,0.0000479,>=,0.000030,/300sec
 3 , 34081.609 ,19:16:36,31.05,201980,-13.595,<,35.000,8.008690,0.0000455,>=,0.000030,/300sec
 3 , 34381.656 ,19:21:36,31.06,201980,-12.624,<,35.000,8.008740,0.0000445,>=,0.000030,/300sec
 3 , 34681.187 ,19:26:36,31.06,201980,-10.682,<,35.000,8.008760,0.0000426,>=,0.000030,/300sec
 3 , 34981.547 ,19:31:36,31.06,201980,-7.769,<,35.000,8.008790,0.0000405,>=,0.000030,/300sec
 3 , 35281.578 ,19:36:36,31.07,201980,-3.884,<,35.000,8.008860,0.0000403,>=,0.000030,/300sec
 3 , 35581.469 ,19:41:36,31.08,201980,-4.855,<,35.000,8.008860,0.0000385,>=,0.000030,/300sec
 3 , 35881.25 ,19:46:36,31.08,201980,0.000,<,35.000,8.008900,0.0000368,>=,0.000030,/300sec
 3 , 36181.109 ,19:51:36,31.08,201980,0.000,<,35.000,8.008910,0.0000345,>=,0.000030,/300sec
 3 , 36481.266 ,19:56:36,31.09,201980,0.000,<,35.000,8.008940,0.0000329,>=,0.000030,/300sec
 3 , 36781.719 ,20:01:36,31.11,201980,0.000,<,35.000,8.008970,0.0000310,>=,0.000030,/300sec
 3 , 37081.562 ,20:06:36,31.11,201873,-4.855,<,35.000,8.008970,0.0000285,<,0.000030,/300sec
 4 , 38120.453 ,20:23:55,31.19,551917,,,,7.984860,,,0.000030,/300sec
 4 , 38420.469 ,20:28:55,31.17,551597,,,,7.985460,,,0.000030,/300sec
 4 , 38720.422 ,20:33:55,31.18,551383,,,,7.985920,,,0.000030,/300sec
 4 , 39020.25 ,20:38:55,31.18,551276,,,,7.986290,,,0.000030,/300sec
 4 , 39320.375 ,20:43:55,31.18,551276,,,,7.986610,,,0.000030,/300sec
 4 , 39620.359 ,20:48:55,31.18,551062,,,,7.986920,,,0.000030,/300sec
 4 , 39920.391 ,20:53:55,31.19,551062,,,,7.987190,,,0.000030,/300sec
 4 , 40220.187 ,20:58:55,31.20,550956,,,,7.987450,,,0.000030,/300sec
 4 , 40520.406 ,21:03:55,31.20,550956,,,,7.987660,,,0.000030,/300sec
 4 , 40820.031 ,21:08:55,31.20,550849,,,,7.987890,,,0.000030,/300sec
 4 , 41120.031 ,21:13:55,31.21,550742,-100.021,>=,35.000,7.988100,0.0003095,>=,0.000030,/300sec
 4 , 41420.25 ,21:18:55,31.21,550742,-80.599,>=,35.000,7.988290,0.0002755,>=,0.000030,/300sec
 4 , 41720.453 ,21:23:55,31.22,550742,-67.975,>=,35.000,7.988470,0.0002512,>=,0.000030,/300sec
 4 , 42020.172 ,21:28:55,31.22,550635,-64.091,>=,35.000,7.988650,0.0002328,>=,0.000030,/300sec
 4 , 42320.016 ,21:33:55,31.23,550528,-64.091,>=,35.000,7.988820,0.0002175,>=,0.000030,/300sec
 4 , 42620.031 ,21:38:55,31.23,550528,-57.294,>=,35.000,7.988990,0.0002045,>=,0.000030,/300sec
 4 , 42920.375 ,21:43:55,31.24,550528,-55.351,>=,35.000,7.989130,0.0001930,>=,0.000030,/300sec
 4 , 43220.125 ,21:48:55,31.24,550422,-53.409,>=,35.000,7.989270,0.0001825,>=,0.000030,/300sec
 4 , 43520.047 ,21:53:55,31.24,550422,-51.467,>=,35.000,7.989400,0.0001733,>=,0.000030,/300sec
 4 , 43820.297 ,21:58:55,31.25,550315,-49.525,>=,35.000,7.989540,0.0001641,>=,0.000030,/300sec
 4 , 44120.422 ,22:03:55,31.26,550315,-47.583,>=,35.000,7.989650,0.0001554,>=,0.000030,/300sec
 4 , 44420.328 ,22:08:55,31.25,550315,-46.612,>=,35.000,7.989750,0.0001466,>=,0.000030,/300sec
 4 , 44720.578 ,22:13:55,31.25,550208,-46.612,>=,35.000,7.989860,0.0001383,>=,0.000030,/300sec
 4 , 45020.266 ,22:18:55,31.26,550208,-41.756,>=,35.000,7.989980,0.0001309,>=,0.000030,/300sec
 4 , 45319.953 ,22:23:55,31.27,550208,-37.872,>=,35.000,7.990080,0.0001242,>=,0.000030,/300sec
 4 , 45620.125 ,22:28:55,31.27,550208,-35.930,>=,35.000,7.990160,0.0001174,>=,0.000030,/300sec
 4 , 45920.469 ,22:33:55,31.26,550101,-35.930,>=,35.000,7.990260,0.0001122,>=,0.000030,/300sec
 4 , 46219.953 ,22:38:55,31.27,550101,-32.046,<,35.000,7.990360,0.0001076,>=,0.000030,/300sec
 4 , 46520.359 ,22:43:55,31.27,549994,-34.959,<,35.000,7.990460,0.0001041,>=,0.000030,/300sec
 4 , 46820.047 ,22:48:55,31.28,550101,-29.132,<,35.000,7.990510,0.0000991,>=,0.000030,/300sec
 4 , 47120.078 ,22:53:55,31.27,549994,-31.074,<,35.000,7.990590,0.0000953,>=,0.000030,/300sec
 4 , 47420.187 ,22:58:55,31.27,549994,-30.103,<,35.000,7.990670,0.0000915,>=,0.000030,/300sec
 4 , 47720.547 ,23:03:55,31.28,549887,-31.074,<,35.000,7.990770,0.0000885,>=,0.000030,/300sec
 4 , 48020.125 ,23:08:55,31.28,549887,-33.988,<,35.000,7.990820,0.0000845,>=,0.000030,/300sec
 4 , 48320.609 ,23:13:55,31.28,549887,-33.988,<,35.000,7.990870,0.0000806,>=,0.000030,/300sec
 4 , 48620.453 ,23:18:55,31.28,549994,-26.219,<,35.000,7.990940,0.0000773,>=,0.000030,/300sec
 4 , 48919.969 ,23:23:55,31.28,549887,-21.364,<,35.000,7.991000,0.0000732,>=,0.000030,/300sec
 4 , 49220.547 ,23:28:55,31.29,549887,-19.422,<,35.000,7.991060,0.0000696,>=,0.000030,/300sec
 4 , 49520.344 ,23:33:55,31.28,549887,-15.537,<,35.000,7.991100,0.0000661,>=,0.000030,/300sec
 4 , 49820.453 ,23:38:55,31.28,549781,-20.393,<,35.000,7.991160,0.0000640,>=,0.000030,/300sec
 4 , 50120.516 ,23:43:55,31.29,549781,-17.479,<,35.000,7.991200,0.0000601,>=,0.000030,/300sec
 4 , 50420.125 ,23:48:55,31.29,549781,-17.479,<,35.000,7.991250,0.0000565,>=,0.000030,/300sec
 4 , 50720.375 ,23:53:55,31.30,549781,-15.537,<,35.000,7.991280,0.0000527,>=,0.000030,/300sec
 4 , 51020.312 ,23:58:55,31.29,549781,-17.479,<,35.000,7.991310,0.0000502,>=,0.000030,/300sec
 4 , 51320.437 ,00:03:55,31.30,549674,-23.306,<,35.000,7.991370,0.0000482,>=,0.000030,/300sec
 4 , 51620.016 ,00:08:55,31.31,549674,-27.190,<,35.000,7.991400,0.0000453,>=,0.000030,/300sec
 4 , 51920.297 ,00:13:55,31.31,549674,-23.306,<,35.000,7.991430,0.0000427,>=,0.000030,/300sec
 4 , 52220.328 ,00:18:55,31.30,549674,-22.335,<,35.000,7.991460,0.0000404,>=,0.000030,/300sec
 4 , 52520.547 ,00:23:55,31.30,549674,-19.422,<,35.000,7.991520,0.0000398,>=,0.000030,/300sec
 4 , 52820.062 ,00:28:55,31.31,549674,-14.566,<,35.000,7.991560,0.0000391,>=,0.000030,/300sec
 4 , 53120.625 ,00:33:55,31.31,549674,-13.595,<,35.000,7.991560,0.0000375,>=,0.000030,/300sec
 4 , 53420.25 ,00:38:55,31.30,549674,-11.653,<,35.000,7.991580,0.0000353,>=,0.000030,/300sec
 4 , 53720.203 ,00:43:55,31.30,549674,-8.740,<,35.000,7.991630,0.0000346,>=,0.000030,/300sec
 4 , 54020.453 ,00:48:55,31.31,549674,-4.855,<,35.000,7.991660,0.0000335,>=,0.000030,/300sec
 4 , 54320.141 ,00:53:55,31.32,549674,0.000,<,35.000,7.991690,0.0000320,>=,0.000030,/300sec
 4 , 54620.109 ,00:58:55,31.31,549567,-4.855,<,35.000,7.991690,0.0000303,>=,0.000030,/300sec
 4 , 54920.562 ,01:03:55,31.31,549567,-8.740,<,35.000,7.991710,0.0000282,<,0.000030,/300sec
 5 , 56000.094 ,01:21:55,31.36,1047875,,,,7.955890,,,0.000030,/300sec
 5 , 56300 ,01:26:55,31.34,1047555,,,,7.956780,,,0.000030,/300sec
 5 , 56599.781 ,01:31:54,31.34,1047234,,,,7.957490,,,0.000030,/300sec
 5 , 56899.859 ,01:36:55,31.34,1047021,,,,7.958040,,,0.000030,/300sec
 5 , 57199.953 ,01:41:55,31.34,1046807,,,,7.958540,,,0.000030,/300sec
 5 , 57499.844 ,01:46:55,31.34,1046700,,,,7.959020,,,0.000030,/300sec
 5 , 57800.187 ,01:51:55,31.34,1046593,,,,7.959440,,,0.000030,/300sec
 5 , 58099.734 ,01:56:54,31.35,1046487,,,,7.959820,,,0.000030,/300sec
 5 , 58399.781 ,02:01:54,31.35,1046273,,,,7.960190,,,0.000030,/300sec
 5 , 58700.437 ,02:06:55,31.34,1046166,,,,7.960510,,,0.000030,/300sec
 5 , 58999.922 ,02:11:55,31.34,1046059,-170.910,>=,35.000,7.960830,0.0004744,>=,0.000030,/300sec
 5 , 59299.984 ,02:16:55,31.36,1045952,-150.517,>=,35.000,7.961130,0.0004238,>=,0.000030,/300sec
 5 , 59599.984 ,02:21:55,31.36,1045952,-130.124,>=,35.000,7.961400,0.0003865,>=,0.000030,/300sec
 5 , 59900.344 ,02:26:55,31.35,1045846,-117.500,>=,35.000,7.961650,0.0003572,>=,0.000030,/300sec
 5 , 60200.187 ,02:31:55,31.35,1045739,-108.761,>=,35.000,7.961910,0.0003319,>=,0.000030,/300sec
 5 , 60500.234 ,02:36:55,31.36,1045632,-104.876,>=,35.000,7.962160,0.0003101,>=,0.000030,/300sec
 5 , 60799.828 ,02:41:54,31.36,1045739,-91.281,>=,35.000,7.962380,0.0002915,>=,0.000030,/300sec
 5 , 61099.766 ,02:46:54,31.36,1045525,-84.484,>=,35.000,7.962560,0.0002735,>=,0.000030,/300sec
 5 , 61399.766 ,02:51:54,31.36,1045418,-78.657,>=,35.000,7.962760,0.0002570,>=,0.000030,/300sec
 5 , 61699.828 ,02:56:54,31.36,1045418,-74.773,>=,35.000,7.962950,0.0002425,>=,0.000030,/300sec
 5 , 61999.922 ,03:01:55,31.37,1045418,-68.946,>=,35.000,7.963150,0.0002295,>=,0.000030,/300sec
 5 , 62299.844 ,03:06:55,31.36,1045312,-67.004,>=,35.000,7.963290,0.0002164,>=,0.000030,/300sec
 5 , 62600.203 ,03:11:55,31.36,1045205,-68.946,>=,35.000,7.963450,0.0002045,>=,0.000030,/300sec
 5 , 62900.078 ,03:16:55,31.36,1045205,-64.091,>=,35.000,7.963610,0.0001935,>=,0.000030,/300sec
 5 , 63199.75 ,03:21:54,31.37,1045098,-63.120,>=,35.000,7.963750,0.0001824,>=,0.000030,/300sec
 5 , 63499.766 ,03:26:54,31.38,1045098,-61.178,>=,35.000,7.963890,0.0001727,>=,0.000030,/300sec
 5 , 63800.312 ,03:31:55,31.37,1044991,-64.091,>=,35.000,7.964020,0.0001646,>=,0.000030,/300sec
 5 , 64099.781 ,03:36:54,31.37,1044991,-55.351,>=,35.000,7.964140,0.0001571,>=,0.000030,/300sec
 5 , 64399.672 ,03:41:54,31.38,1044884,-56.322,>=,35.000,7.964260,0.0001488,>=,0.000030,/300sec
 5 , 64700.25 ,03:46:55,31.39,1044991,-52.438,>=,35.000,7.964380,0.0001415,>=,0.000030,/300sec
 5 , 64999.891 ,03:51:55,31.38,1044884,-49.525,>=,35.000,7.964450,0.0001329,>=,0.000030,/300sec
 5 , 65299.953 ,03:56:55,31.38,1044884,-41.756,>=,35.000,7.964560,0.0001266,>=,0.000030,/300sec
 5 , 65600.281 ,04:01:55,31.39,1044671,-44.670,>=,35.000,7.964680,0.0001206,>=,0.000030,/300sec
 5 , 65899.766 ,04:06:54,31.39,1044777,-42.727,>=,35.000,7.964780,0.0001153,>=,0.000030,/300sec
 5 , 66199.984 ,04:11:55,31.39,1044671,-41.756,>=,35.000,7.964840,0.0001093,>=,0.000030,/300sec
 5 , 66499.719 ,04:16:54,31.38,1044671,-41.756,>=,35.000,7.964930,0.0001038,>=,0.000030,/300sec
 5 , 66799.891 ,04:21:55,31.39,1044564,-42.727,>=,35.000,7.965010,0.0000989,>=,0.000030,/300sec
 5 , 67099.687 ,04:26:54,31.40,1044564,-44.670,>=,35.000,7.965090,0.0000945,>=,0.000030,/300sec
 5 , 67400.234 ,04:31:55,31.40,1044671,-37.872,>=,35.000,7.965150,0.0000897,>=,0.000030,/300sec
 5 , 67699.672 ,04:36:54,31.39,1044564,-38.843,>=,35.000,7.965190,0.0000841,>=,0.000030,/300sec
 5 , 67999.703 ,04:41:54,31.39,1044564,-31.074,<,35.000,7.965260,0.0000797,>=,0.000030,/300sec
 5 , 68300.094 ,04:46:55,31.40,1044564,-25.248,<,35.000,7.965340,0.0000748,>=,0.000030,/300sec
 5 , 68599.766 ,04:51:54,31.41,1044564,-16.508,<,35.000,7.965380,0.0000696,>=,0.000030,/300sec
 5 , 68899.797 ,04:56:54,31.40,1044457,-21.364,<,35.000,7.965430,0.0000658,>=,0.000030,/300sec
 5 , 69200.125 ,05:01:55,31.40,1044457,-18.450,<,35.000,7.965490,0.0000634,>=,0.000030,/300sec
 5 , 69500.109 ,05:06:55,31.40,1044350,-23.306,<,35.000,7.965540,0.0000600,>=,0.000030,/300sec
 5 , 69799.875 ,05:11:55,31.41,1044457,-20.393,<,35.000,7.965580,0.0000570,>=,0.000030,/300sec
 5 , 70100.391 ,05:16:55,31.41,1044457,-21.364,<,35.000,7.965610,0.0000538,>=,0.000030,/300sec
 5 , 70399.797 ,05:21:54,31.41,1044350,-26.219,<,35.000,7.965660,0.0000518,>=,0.000030,/300sec
 5 , 70699.953 ,05:26:55,31.41,1044243,-28.161,<,35.000,7.965710,0.0000502,>=,0.000030,/300sec
 5 , 71000.125 ,05:31:55,31.41,1044350,-27.190,<,35.000,7.965750,0.0000475,>=,0.000030,/300sec
 5 , 71299.922 ,05:36:55,31.42,1044350,-24.277,<,35.000,7.965760,0.0000439,>=,0.000030,/300sec
 5 , 71599.937 ,05:41:55,31.42,1044243,-24.277,<,35.000,7.965790,0.0000415,>=,0.000030,/300sec
 5 , 71899.859 ,05:46:55,31.43,1044243,-21.364,<,35.000,7.965830,0.0000391,>=,0.000030,/300sec
 5 , 72199.953 ,05:51:55,31.43,1044243,-21.364,<,35.000,7.965860,0.0000366,>=,0.000030,/300sec
 5 , 72499.859 ,05:56:55,31.44,1044243,-19.422,<,35.000,7.965910,0.0000358,>=,0.000030,/300sec
 5 , 72799.812 ,06:01:54,31.43,1044030,-31.074,<,35.000,7.965930,0.0000348,>=,0.000030,/300sec
 5 , 73100.109 ,06:06:55,31.43,1044137,-29.132,<,35.000,7.965930,0.0000325,>=,0.000030,/300sec
 5 , 73400.047 ,06:11:55,31.44,1044137,-24.277,<,35.000,7.965960,0.0000299,<,0.000030,/300sec
 6 , 74489.75 ,06:30:04,31.47,1541056,,,,7.928230,,,0.000030,/300sec
 6 , 74790.125 ,06:35:05,31.46,1540522,,,,7.929230,,,0.000030,/300sec
 6 , 75090.125 ,06:40:05,31.46,1540202,,,,7.930000,,,0.000030,/300sec
 6 , 75390.172 ,06:45:05,31.46,1539988,,,,7.930640,,,0.000030,/300sec
 6 , 75690.187 ,06:50:05,31.45,1539667,,,,7.931200,,,0.000030,/300sec
 6 , 75990.281 ,06:55:05,31.46,1539454,,,,7.931720,,,0.000030,/300sec
 6 , 76290.266 ,07:00:05,31.46,1539454,,,,7.932180,,,0.000030,/300sec
 6 , 76590.047 ,07:05:05,31.45,1539240,,,,7.932570,,,0.000030,/300sec
 6 , 76889.969 ,07:10:05,31.45,1538920,,,,7.932980,,,0.000030,/300sec
 6 , 77189.672 ,07:15:04,31.46,1538920,,,,7.933340,,,0.000030,/300sec
 6 , 77489.844 ,07:20:05,31.46,1538813,-210.724,>=,35.000,7.933710,0.0005238,>=,0.000030,/300sec
 6 , 77790.078 ,07:25:05,31.46,1538706,-177.707,>=,35.000,7.934000,0.0004655,>=,0.000030,/300sec
 6 , 78089.859 ,07:30:05,31.45,1538492,-162.170,>=,35.000,7.934320,0.0004237,>=,0.000030,/300sec
 6 , 78390.031 ,07:35:05,31.45,1538386,-150.517,>=,35.000,7.934600,0.0003905,>=,0.000030,/300sec
 6 , 78689.656 ,07:40:04,31.45,1538279,-138.864,>=,35.000,7.934880,0.0003630,>=,0.000030,/300sec
 6 , 78990.172 ,07:45:05,31.44,1538172,-134.009,>=,35.000,7.935090,0.0003371,>=,0.000030,/300sec
 6 , 79289.922 ,07:50:05,31.44,1538065,-132.066,>=,35.000,7.935340,0.0003155,>=,0.000030,/300sec
 6 , 79590.125 ,07:55:05,31.45,1538065,-117.500,>=,35.000,7.935570,0.0002966,>=,0.000030,/300sec
 6 , 79889.922 ,08:00:05,31.45,1537958,-106.818,>=,35.000,7.935770,0.0002773,>=,0.000030,/300sec
 6 , 80190.312 ,08:05:05,31.44,1537745,-111.674,>=,35.000,7.935970,0.0002603,>=,0.000030,/300sec
 6 , 80489.828 ,08:10:04,31.43,1537638,-110.703,>=,35.000,7.936170,0.0002448,>=,0.000030,/300sec
 6 , 80790.344 ,08:15:05,31.44,1537638,-103.905,>=,35.000,7.936340,0.0002315,>=,0.000030,/300sec
 6 , 81090.187 ,08:20:05,31.43,1537531,-97.108,>=,35.000,7.936510,0.0002179,>=,0.000030,/300sec
 6 , 81389.922 ,08:25:05,31.43,1537424,-96.137,>=,35.000,7.936670,0.0002062,>=,0.000030,/300sec
 6 , 81689.734 ,08:30:04,31.42,1537317,-96.137,>=,35.000,7.936820,0.0001952,>=,0.000030,/300sec
 6 , 81990.203 ,08:35:05,31.43,1537317,-92.252,>=,35.000,7.936960,0.0001856,>=,0.000030,/300sec
 6 , 82289.672 ,08:40:04,31.41,1537211,-90.310,>=,35.000,7.937080,0.0001741,>=,0.000030,/300sec
 6 , 82590.344 ,08:45:05,31.41,1536997,-95.166,>=,35.000,7.937210,0.0001640,>=,0.000030,/300sec
 6 , 82889.672 ,08:50:04,31.41,1536997,-90.310,>=,35.000,7.937330,0.0001549,>=,0.000030,/300sec
 6 , 83190.344 ,08:55:05,31.41,1536997,-81.570,>=,35.000,7.937420,0.0001448,>=,0.000030,/300sec
 6 , 83490.406 ,09:00:05,31.39,1536783,-85.455,>=,35.000,7.937520,0.0001352,>=,0.000030,/300sec
 6 , 83789.719 ,09:05:04,31.39,1536677,-91.281,>=,35.000,7.937640,0.0001278,>=,0.000030,/300sec
 6 , 84089.937 ,09:10:05,31.39,1536570,-93.223,>=,35.000,7.937730,0.0001205,>=,0.000030,/300sec
 6 , 84390.234 ,09:15:05,31.38,1536570,-91.281,>=,35.000,7.937790,0.0001125,>=,0.000030,/300sec
 6 , 84690.109 ,09:20:05,31.37,1536463,-91.281,>=,35.000,7.937890,0.0001061,>=,0.000030,/300sec
 6 , 84989.75 ,09:25:04,31.37,1536356,-93.223,>=,35.000,7.937980,0.0001009,>=,0.000030,/300sec
 6 , 85290.047 ,09:30:05,31.36,1536249,-91.281,>=,35.000,7.938060,0.0000965,>=,0.000030,/300sec
 6 , 85589.875 ,09:35:05,31.35,1536249,-85.455,>=,35.000,7.938140,0.0000922,>=,0.000030,/300sec
 6 , 85890.234 ,09:40:05,31.35,1536142,-87.397,>=,35.000,7.938230,0.0000895,>=,0.000030,/300sec
 6 , 86189.859 ,09:45:05,31.35,1536142,-81.570,>=,35.000,7.938280,0.0000863,>=,0.000030,/300sec
 6 , 86489.922 ,09:50:05,31.34,1536036,-72.831,>=,35.000,7.938360,0.0000830,>=,0.000030,/300sec
 6 , 86790.203 ,09:55:05,31.34,1535929,-71.860,>=,35.000,7.938390,0.0000780,>=,0.000030,/300sec
 6 , 87090 ,10:00:05,31.33,1535929,-68.946,>=,35.000,7.938470,0.0000753,>=,0.000030,/300sec
 6 , 87390 ,10:05:05,31.33,1535822,-69.918,>=,35.000,7.938530,0.0000726,>=,0.000030,/300sec
 6 , 87689.906 ,10:10:05,31.32,1535715,-68.946,>=,35.000,7.938550,0.0000669,>=,0.000030,/300sec
 6 , 87989.844 ,10:15:05,31.32,1535715,-66.033,>=,35.000,7.938580,0.0000611,>=,0.000030,/300sec
 6 , 88289.937 ,10:20:05,31.32,1535715,-62.149,>=,35.000,7.938630,0.0000562,>=,0.000030,/300sec
 6 , 88589.937 ,10:25:05,31.31,1535608,-63.120,>=,35.000,7.938670,0.0000515,>=,0.000030,/300sec
 6 , 90090.156 ,10:50:05,31.34,1535608,-58.265,>=,35.000,7.938860,0.0000544,>=,0.000010,/1500sec
 6 , 91590.141 ,11:15:05,31.32,1535395,-63.120,>=,35.000,7.938970,0.0000605,>=,0.000010,/1500sec
 6 , 93089.656 ,11:40:04,31.28,1534967,-80.599,>=,35.000,7.939060,0.0000668,>=,0.000010,/1500sec
 6 , 94590.016 ,12:05:05,31.24,1534647,-107.790,>=,35.000,7.939160,0.0000749,>=,0.000010,/1500sec
 6 , 96090.094 ,12:30:05,31.21,1534433,-137.893,>=,35.000,7.939200,0.0000792,>=,0.000010,/1500sec
 6 , 97590.219 ,12:55:05,31.18,1534326,-159.257,>=,35.000,7.939250,0.0000827,>=,0.000010,/1500sec
 6 , 99090.156 ,13:20:05,31.16,1533899,-191.302,>=,35.000,7.939310,0.0000852,>=,0.000010,/1500sec
 6 , 100589.859 ,13:45:05,31.15,1533686,-221.406,>=,35.000,7.939370,0.0000844,>=,0.000010,/1500sec
 6 , 102089.922 ,14:10:05,31.14,1533579,-237.914,>=,35.000,7.939420,0.0000800,>=,0.000010,/1500sec
